DATE,VALUE
January-90,22.86
February-90,22.11
March-90,20.39
April-90,18.43
May-90,18.20
June-90,16.70
July-90,18.45
August-90,27.31
September-90,33.51
October-90,36.04
November-90,32.33
December-90,27.28
January-91,25.23
February-91,20.48
March-91,19.90
April-91,20.83
May-91,21.23
June-91,20.19
July-91,21.40
August-91,21.69
September-91,21.89
October-91,23.23
November-91,22.46
December-91,19.50
January-92,18.79
February-92,19.01
March-92,18.92
April-92,20.23
May-92,20.98
June-92,22.38
July-92,21.78
August-92,21.34
September-92,21.88
October-92,21.69
November-92,20.34
December-92,19.41
January-93,19.03
February-93,20.09
March-93,20.32
April-93,20.25
May-93,19.95
June-93,19.09
July-93,17.89
August-93,18.01
September-93,17.50
October-93,18.15
November-93,16.61
December-93,14.51
January-94,15.03
February-94,14.78
March-94,14.68
April-94,16.42
May-94,17.89
June-94,19.06
July-94,19.65
August-94,18.38
September-94,17.45
October-94,17.72
November-94,18.07
December-94,17.16
January-95,18.04
February-95,18.57
March-95,18.54
April-95,19.90
May-95,19.74
June-95,18.45
July-95,17.33
August-95,18.02
September-95,18.23
October-95,17.43
November-95,17.99
December-95,19.03
January-96,18.85
February-96,19.09
March-96,21.33
April-96,23.50
May-96,21.17
June-96,20.42
July-96,21.30
August-96,21.90
September-96,23.97
October-96,24.88
November-96,23.71
December-96,25.23
January-97,25.13
February-97,22.18
March-97,20.97
April-97,19.70
May-97,20.82
June-97,19.26
July-97,19.66
August-97,19.95
September-97,19.80
October-97,21.33
November-97,20.19
December-97,18.33
January-98,16.72
February-98,16.06
March-98,15.12
April-98,15.35
May-98,14.91
June-98,13.72
July-98,14.17
August-98,13.47
September-98,15.03
October-98,14.46
November-98,13.00
December-98,11.35
January-99,12.51
February-99,12.01
March-99,14.68
April-99,17.31
May-99,17.72
June-99,17.92
July-99,20.10
August-99,21.28
September-99,23.80
October-99,22.69
November-99,25.00
December-99,26.10
January-00,27.26
February-00,29.37
March-00,29.84
April-00,25.72
May-00,28.79
June-00,31.82
July-00,29.70
August-00,31.26
September-00,33.88
October-00,33.11
November-00,34.42
December-00,28.44
January-01,29.59
February-01,29.61
March-01,27.24
April-01,27.49
May-01,28.63
June-01,27.60
July-01,26.42
August-01,27.37
September-01,26.20
October-01,22.17
November-01,19.64
December-01,19.39
January-02,19.71
February-02,20.72
March-02,24.53
April-02,26.18
May-02,27.04
June-02,25.52
July-02,26.97
August-02,28.39
September-02,29.66
October-02,28.84
November-02,26.35
December-02,29.46
January-03,32.95
February-03,35.83
March-03,33.51
April-03,28.17
May-03,28.11
June-03,30.66
July-03,30.75
August-03,31.57
September-03,28.31
October-03,30.34
November-03,31.11
December-03,32.13
January-04,34.31
February-04,34.68
March-04,36.74
April-04,36.75
May-04,40.28
June-04,38.03
July-04,40.78
August-04,44.90
September-04,45.94
October-04,53.28
November-04,48.47
December-04,43.15
January-05,46.84
February-05,48.15
March-05,54.19
April-05,52.98
May-05,49.83
June-05,56.35
July-05,59.00
August-05,64.99
September-05,65.59
October-05,62.26
November-05,58.32
December-05,59.41
January-06,65.49
February-06,61.63
March-06,62.69
April-06,69.44
May-06,70.84
June-06,70.95
July-06,74.41
August-06,73.04
September-06,63.80
October-06,58.89
November-06,59.08
December-06,61.96
January-07,54.51
February-07,59.28
March-07,60.44
April-07,63.98
May-07,63.45
June-07,67.49
July-07,74.12
August-07,72.36
September-07,79.91
October-07,85.80
November-07,94.77
December-07,91.69
January-08,92.97
February-08,95.39
March-08,105.45
April-08,112.58
May-08,125.40
June-08,133.88
July-08,133.37
August-08,116.67
September-08,104.11
October-08,76.61
November-08,57.31
December-08,41.12
January-09,41.71
February-09,39.09
March-09,47.94
April-09,49.65
May-09,59.03
June-09,69.64
July-09,64.15
August-09,71.04
September-09,69.41
October-09,75.72
November-09,77.99
December-09,74.47
January-10,78.33
February-10,76.39
March-10,81.20
April-10,84.29
May-10,73.74
June-10,75.34
July-10,76.32
August-10,76.60
September-10,75.24
October-10,81.89
November-10,84.25
December-10,89.15
January-11,89.17
February-11,88.58
March-11,102.86
April-11,109.53
May-11,100.90
June-11,96.26
July-11,97.30
August-11,86.33
September-11,85.52
October-11,86.32
November-11,97.16
December-11,98.56
January-12,100.27
February-12,102.20
March-12,106.16
April-12,103.32
May-12,94.65
June-12,82.30
July-12,87.90
August-12,94.13
September-12,94.51
October-12,89.49
November-12,86.53
December-12,87.86
January-13,94.76
February-13,95.31
March-13,92.94
April-13,92.02
May-13,94.51
June-13,95.77
July-13,104.67
August-13,106.57
September-13,106.29
October-13,100.54
November-13,93.86
December-13,97.63
January-14,94.62
February-14,100.82
March-14,100.80
April-14,102.07
May-14,102.18
June-14,105.79
July-14,103.59
August-14,96.54
September-14,93.21
October-14,84.40
November-14,75.79
December-14,59.29
January-15,47.22
February-15,50.58
March-15,47.82
April-15,54.45
May-15,59.27
June-15,59.82
July-15,50.90
August-15,42.87
September-15,45.48
October-15,46.22
November-15,42.44
December-15,37.19
January-16,31.68
February-16,30.32
March-16,37.55
April-16,40.76
May-16,46.71
June-16,48.76
July-16,44.65
August-16,44.72
September-16,45.18
October-16,49.78
